108.35.156.127 - - [25/May/2020:21:15:07 -0700] "GET /fonts/staccato-222-bt.ttf HTTP/1.1" 200 126707 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:00 -0700] "GET / HTTP/1.1" 200 11432 "-" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:01 -0700] "GET /css/style.css HTTP/1.1" 200 8387 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:01 -0700] "GET /images/vc_logo.png HTTP/1.1" 200 177410 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:01 -0700] "GET /images/barbara.side.jpg HTTP/1.1" 200 30700 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:01 -0700] "GET /images/rosechef.jpg HTTP/1.1" 200 61902 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:01 -0700] "GET /images/kellychef.jpg HTTP/1.1" 200 46377 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:02 -0700] "GET /images/chocLavaCake.jpg HTTP/1.1" 200 1050534 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:02 -0700] "GET /images/kitchenFooter.jpg HTTP/1.1" 200 189875 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:32:02 -0700] "GET /fonts/staccato-222-bt.ttf HTTP/1.1" 200 126707 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
111.202.102.100 - - [25/May/2020:21:44:33 -0700] "GET /js/custom.js HTTP/1.1" 200 843 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "vivacucina.com"
111.202.102.100 - - [25/May/2020:21:52:45 -0700] "GET /js/custom.js HTTP/1.1" 200 843 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "vivacucina.com"
34.216.111.171 - - [25/May/2020:22:02:24 -0700] "GET / HTTP/1.1" 200 11432 "-" "Go-http-client/1.1" "vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET / HTTP/1.1" 200 11432 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET /css/nivo_themes/default/default.css HTTP/1.1" 200 2909 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET /css/nivo-lightbox.css HTTP/1.1" 200 5702 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET /js/jquery.js HTTP/1.1" 200 95786 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET /js/custom.js HTTP/1.1" 200 843 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET /css/style.css HTTP/1.1" 200 8387 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET /images/vc_logo.png HTTP/1.1" 200 177410 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:41 -0700] "GET /images/kitchenmain.jpg HTTP/1.1" 200 189619 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:42 -0700] "GET /images/group2.jpg HTTP/1.1" 200 36109 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
73.223.185.83 - - [25/May/2020:23:06:42 -0700] "GET /fonts/staccato-222-bt.ttf HTTP/1.1" 200 126707 "http://www.vivacucina.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1" "www.vivacucina.com"
